#category,result,item1,item2,item3,item4,item5,item6
武,丸太,神気玉,木の棒 Lv12,強力液,,,
武,子供用のバット,おみやげ用の木刀,木の棒 Lv12,,,,
武,金属バット,木製のバット Lv37<br>(子供用のバットrank2),溶けた金属,,,,
武,石槍,木の棒 Lv12,石ころ,石ころ,石ころ,,
武,緋の衣,ヌメッとしたもの Lv10,深海泥,竜の落書き,,,
武,フランクフルト,木の棒 Lv10,動物の皮,獣の毛,,,
武,底抜けひしゃく,竹の棒 Lv10,廃木材,水没「サブマージプリンス」,,,
武,筆ペン,竹の棒 Lv10,墨汁,,,,
武,子供用シャベル,鉄の棒 Lv10,石ころ,,,,
武,ペンデュラム,鉄の棒 Lv10,壊れたソナー,目薬,,,
武,ダウジングロッドS,ダウジングロッドN Lv37<br>(ペンデュラムrank2),転換液,場所がえの札,,,
武,ナズーリンロッド,ダウジングロッドN<br>(ペンデュラムrank2),ダウジングロッドS,,,,
武,包帯,なにかの骨 Lv10,ふしぎな紙切れ,八意湿布,,,
武,ステッキ（青）,フラッシュソード''限定''<br>(おみやげ用の木刀rank2),ぞうきん,紅茶,,,
武,ステッキ（緑）,フラッシュソード''限定'',ヘビの抜け殻,,,,
武,ステッキ（緑）,フラッシュソード''限定'',カエルの抜け殻,,,,
武,さらさらヘアー,みらくる★ワッフルDX,ステッキ（緑）,,,,
武,地獄極楽の羽,放射性物質,核燃料,金烏の羽,超制御棒 <br>(融合の足rank3),,
武,無慈悲なおはらい棒,禍怨珠,おはらい棒99 Lv99,,,,
武,爆殺伊吹瓢,伊吹瓢<br>(ウリ科の植物rank3),火縄銃,,,,
武,打杵,木の棒 Lv10,お地球見団子,強力液,,,
武,打杵,木製の臼,転換液,,,,
武,エッグチェンバー,脈動する細胞,玉兎姉の日記,,,,
武,フェイスハガー,エッグチェンバー Lv43,うさぎのしっぽ,地球見餅,煌々液,,
武,チェストバスター,覚醒状態の玉兎人形<br>(昏睡状態の玉兎人形rank2),禍怨珠,,,,
武,金虎棒,寅丸の槍<br>(石槍rank2),モアイ像<br>(ヤップ島の石貨rank2),打ち出の小槌,,,
武,ラビット2,ウドンゲスラッシャー<br>(うどんげの耳rank2),シュペーア・カノーネ,アトミックバズーカ,宇宙ポッド,しあわせのにんじん,
武,パーフェクトチルノ,レインボーフェアリーウィング Lv75<br>(氷精の羽rank2),チルノ人形,でっかいワッフルMAX-G,,,
武,ツヴァイ・フリューゲル,禁書「小悪魔召喚」<br>(絵本rank5),レミィ人形<br>(紅いリボンrank4),,,,
武,ツヴァイ・フリューゲル,禁書「小悪魔召喚」<br>(絵本rank5),レミリアの羽,,,,
武,こころの扇子,びっくり面,てゐの覆面,パピヨンマスク,おかめ,うちわ Lv10,
武,こころの薙刀,寅丸の槍<br>(石槍rank2),こころの扇子,,,,
武,こころの薙刀,ビームファルクス<br>(草刈り鎌rank3),こころの扇子,,,,
武,フルアーマーこころ,こころの薙刀 Lv60,こころの扇子,姥の面<br>(おかめrank3),,,
武,ふたりはナマコたん,エクレアナマコたん,キャラウシナマコたん,,,,
武,YES! ナマコたん5,ふたりはナマコたん,エボシナマコたん,,,,
武,フレッシュナマコたん！,YES! ナマコたん5,ペニアゴネ・プルプレア,,,,
武,ハートキャッチナマコたん！,フレッシュナマコたん！,クレナイオオイカリナマコたん,,,,
武,スイートナマコたん♪,ハートキャッチナマコたん！,ユメナマコたん,,,,
武,スマイルナマコたん！,スイートナマコたん♪,アルビノたん,,,,
武,ドキドキ！ ナマコたん,スマイルナマコたん！,マナマコたん,,,,
武,ハピネスチャージナマコたん！,ドキドキ！ ナマコたん,センジュナマコたん,,,,
武,月夜見の禍津太刀,依姫の剣''限定'' Lv20,玉兎人形,禍怨珠,粛清の証,粛清の証,
武,断罪の拳,ヒマンテス''限定''(メリケンサックrank2),閻魔様の審判帳,神気玉,,,
武,審判「ラストジャッジメント」,断罪の右腕<br>(断罪の拳rank3),卒塔婆,,,,
武,松明,狂気の灯火,木の棒 Lv8,,,,
武,サグメの羽,白鷺の矢羽,うちわ Lv8,,,,
武,ドレミーの夢,夢のかたち,なにかの骨 Lv10,,,,
武,ヘカーティアの星,無地のTシャツ,地球見餅,月餅,白黒まんじゅう,,
武,純狐の尻尾,彼岸花,きつねのしっぽ,,,,
武,清蘭の杵,堅い木材,打杵,紅い液体,,,
武,鈴瑚の団子,串,木の棒 Lv8,米,小麦粉,,
武,探査機のパーツ,壊れたレンズ,ネズミレーダー,無線機,,,
武,月面車のパーツ,探査機のパーツ,壊れたアンテナ,うさぎレーダー,,,
武,オカルトボール（攻）,くすんだ水晶,なにかの骨 Lv8,,,,
武,甲類焼酎「大ちゃん」,モラセス,培養液,ウリ科の植物,,,
武,のこぎり,溶けた金属,堅い木材,木の棒 Lv8,,,
武,サグメの機雷,白鷺の矢羽,溶けた金属,水蒸気爆薬,,,
武,ススキ,雑草,米,神気玉,竹の棒 Lv10,,
武,もごし,折れ曲がった鉄棒,正体不明の種,鉄の棒 Lv10,,,
武,ゼナー・カード「紅」,曲がったスプーン,無地のカード,オカルトボール（攻）,,,
武,ドールソード,灰色の銀,ナイフ Lv8,,,,
武,ドールランス,灰色の銀,鉄の棒 Lv8,,,,
武,攻撃的なスキマ,強化のスキマ,最も凶悪なびっくり巫女玉,神守大二重ラセンスキマ<br>(スキマrank4),,,
武,宿り木の短剣,ヤドリギ,ナイフ Lv99,,,,
武,パンチグローブ,陰陽鬼神玉 Lv90<br>（陰陽ボールrank3）,紫水晶,,,,
武,カッターソード,バスタードチルノソード Lv90,蒼玉,,,,
武,環鍔の黒鍵,丙子椒林剣 Lv90<br>（素環頭太刀rank2）,隕鉄,,,,
武,ピコピコハンマー,ゴルディオンひしゃく Lv60<br>（底抜けひしゃくrank3）,クギバット Lv60<br>（子供用のバットrank3）,黄水晶,,,
武,獣の槍・改,毘沙門天虎槍 Lv90<br>（石槍rank3）,紅玉,,,,
武,暴食姫の魂「抉」,蒼き希望,扇子オブチェリーブロッサム<br>（ゆゆ様うちわrank3）,DC,オータムシスターパフェ,,
武,暴食姫の魂「刺」,ウォーターメロン,扇子オブチェリーブロッサム,額烏帽子,夢と魔法のポップ★コーン,,
武,暴食姫の魂「断」,サンタマリア,扇子オブチェリーブロッサム,西行妖の枝,クワノミ★スイート★DX,,
武,釣瓶妖の魂「潰」,天降珠鐵,？？？？,エイリアンエッグ,みかん箱,,
武,不死人の魂,枯れない薔薇,フェニックスブロー<br>（メリケンサックrank3）,炎上の札(10),超爆発のスキマ,水蒸気爆薬,
武,毒人形の魂,ガールズプレイヤー,劇薬「スイートポイズン」,日輪酒「花鳥風月」,四季酒「百花繚乱」,てんがいのはなびら,
武,商売人の魂,ガネーシャペンダント,緋々色金,でかい金の玉,新1万円札,,
武,歴史喰の魂,ウージの車,秘薬「歴史喰い」,不幸の札(10),幸福の札(10),,
武,独鈷杵,宝塔のようなもの,メリケンサック,石槍,,,
武,光の剣,勇気凛々の剣,銀河の果てに遍く幾千の星<br>（ヘカーティアの星rank3）,,,,
武,超オンバシラブルー,超オンバシラゴッド<br>（丸太rank4）,真なる覚醒,,,,
武,超オンバシラロゼ,超オンバシラブルー,邪悪なる覚醒,,,,
武,破壊ノ淵源～衝動～,フランドールの羽<br>（グネグネした棒rank3）,粛清の証,禍怨珠,,,
武,草薙の剣,素環頭太刀,六文銭,旧一万円札(10),換金のスキマ(9),,
武,オラッ！,メリケンサック,強力液,,,,
武,無駄ァ！,メリケンサック,紅い液体,,,,
武,ダブル・スレッジ・ハンマー,オラッ！,無駄ァ！,,,,
武,魔女になりたかった娘の箒,魔法少女のほうき<br>（門前少女のほうきrank2）,猫車<br>（手押し車rank2）,転生タイヤ,粛清の証,願いのかたち,狂気の灯火
武,桜花「千本桜」,桜花「黒楼剣」,浄化「プラズモンクラスター」,,,,
武,抱き枕,神聖な小袋,無地のTシャツ,毛糸,最新鋭の素材,透明ビニール,漂白剤
武,魔女と使い魔の抱き枕,小悪魔の抱き枕''限定''<br>(抱き枕rank2),パチュリーの抱き枕''限定''<br>(抱き枕rank3),,,,
武,椛の抱き枕,抱き枕,無地の抱き枕カバー,白狼天牙「椛」,,,
武,こころの抱き枕,抱き枕,無地の抱き枕カバー,フルアーマーこころ,,,
武,抱き枕,布,最新鋭の素材,わた,あれ,毛糸,
